,Unnamed: 0,index,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,win,steam_id,enemy_team,ally_team
0,0,0,5336648745,4,1,1805,22,7,Jakiro,2020-04-05,,3,4,19,1.0,0,1.0,1,490408,"[106, 121, 109, 22, 64]","[120, 51, 87, 1, 23]"
1,1,1,5319734632,0,1,3030,22,0,Witch Doctor,2020-03-28,,11,13,11,,0,4.0,1,490408,"[30, 37, 81, 35, 53]","[98, 42, 5, 7, 19]"
2,2,2,5307601978,2,1,2310,22,7,Shadow Shaman,2020-03-22,,4,10,10,1.0,0,1.0,1,490408,"[49, 48, 27, 25, 45]","[34, 128, 8, 26, 114]"
3,3,3,5298270075,131,0,2767,22,7,Witch Doctor,2020-03-17,,4,10,13,1.0,0,1.0,1,490408,"[43, 14, 90, 8, 2]","[17, 67, 97, 30, 85]"
4,4,4,5298172743,3,1,2327,22,7,Witch Doctor,2020-03-17,,7,11,10,1.0,0,1.0,1,490408,"[99, 11, 14, 30, 48]","[35, 47, 19, 26, 29]"
5,5,5,5298103866,128,0,2164,22,7,Witch Doctor,2020-03-17,,7,9,13,1.0,0,1.0,1,490408,"[120, 58, 129, 44, 11]","[30, 94, 16, 7, 67]"
6,6,6,5293942175,128,0,2003,22,7,Lion,2020-03-15,21.0,4,7,7,,0,1.0,1,490408,"[114, 23, 21, 59, 5]","[26, 80, 48, 2, 14]"
7,7,7,5293743751,129,0,1968,22,7,Crystal Maiden,2020-03-15,,3,8,14,,0,,1,490408,"[104, 17, 93, 100, 31]","[10, 5, 35, 69, 84]"
8,8,8,5290171417,128,0,2813,22,7,Witch Doctor,2020-03-13,,6,5,10,,0,,1,490408,"[86, 15, 75, 94, 18]","[30, 95, 23, 46, 25]"
9,9,9,5211391144,0,1,2374,22,0,Treant Protector,2020-01-25,,5,5,19,1.0,0,,1,490408,"[83, 28, 22, 87, 44]","[58, 32, 33, 12, 102]"
10,10,10,5211275756,1,1,2585,4,0,Tusk,2020-01-25,21.0,3,6,19,1.0,0,,1,490408,"[37, 100, 121, 42, 109]","[32, 104, 94, 27, 98]"
11,11,11,5211016875,3,1,2931,4,0,Underlord,2020-01-25,,8,13,15,,0,,1,490408,"[31, 6, 19, 108, 11]","[51, 75, 97, 5, 41]"
12,12,12,5210868267,2,1,2156,4,0,Razor,2020-01-25,,8,6,23,1.0,0,,1,490408,"[87, 81, 15, 2, 79]","[44, 114, 50, 23, 26]"
