,index,match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,skill,leaver_status,party_size,win,steam_id,enemy_team,ally_team
8000,3309,4663036190,132,1,3971,22,0,Bane,2019-04-17,,8,13,22,,1,,0,232851,"[84, 62, 10, 7, 56]","[49, 108, 101, 63, 3]"
8001,3310,4659705342,130,1,2104,4,0,Nyx Assassin,2019-04-16,,4,6,10,1.0,0,,0,232851,"[77, 43, 64, 18, 129]","[52, 40, 88, 22, 119]"
8002,3311,4659464116,132,1,3295,4,0,Kunkka,2019-04-16,,18,10,14,1.0,0,,0,232851,"[37, 58, 95, 114, 17]","[28, 94, 111, 65, 23]"
8003,3312,4659342530,0,0,1531,5,0,Sand King,2019-04-16,,8,9,7,1.0,0,,0,232851,"[16, 27, 58, 76, 84]","[78, 6, 95, 108, 20]"
8004,3313,4657853871,132,1,2680,5,0,Dazzle,2019-04-16,,7,9,4,1.0,0,,0,232851,"[57, 23, 33, 64, 83]","[98, 86, 96, 22, 50]"
8005,3314,4657253687,1,0,2705,22,0,Sniper,2019-04-16,,5,11,9,1.0,0,,0,232851,"[7, 35, 99, 74, 68]","[9, 17, 41, 14, 91]"
8006,3315,4655784851,1,0,2944,4,0,Rubick,2019-04-15,,8,12,13,1.0,0,,0,232851,"[84, 86, 42, 44, 78]","[35, 30, 71, 39, 53]"
8007,3316,4655659339,129,1,1859,22,0,Spectre,2019-04-15,,3,9,8,1.0,0,,0,232851,"[75, 22, 71, 28, 93]","[26, 67, 62, 56, 32]"
8008,3317,4643751721,1,0,3826,22,0,Earthshaker,2019-04-12,,10,6,17,1.0,0,,0,232851,"[8, 7, 105, 35, 112]","[14, 26, 36, 80, 73]"
8009,3318,4642656514,129,1,2156,3,0,Riki,2019-04-12,,9,5,6,1.0,0,,0,232851,"[44, 68, 2, 100, 82]","[129, 32, 89, 75, 83]"
8010,3319,4641979642,132,1,3079,22,0,Dark Seer,2019-04-12,,9,5,23,1.0,0,,0,232851,"[50, 12, 57, 25, 71]","[21, 35, 8, 119, 55]"
8011,3320,4640543682,130,1,2841,22,7,Dark Seer,2019-04-11,21.0,4,5,10,1.0,0,1.0,0,232851,"[90, 47, 84, 120, 94]","[54, 86, 55, 76, 14]"
8012,3321,4637793602,3,0,2311,5,0,Ember Spirit,2019-04-10,,3,5,7,1.0,0,,0,232851,"[7, 69, 56, 106, 16]","[92, 32, 68, 93, 108]"
8013,3322,4637358449,131,1,3317,22,0,Dark Seer,2019-04-10,,10,7,20,1.0,0,,0,232851,"[27, 21, 14, 70, 32]","[8, 105, 59, 55, 5]"
8014,3323,4636251489,130,1,2563,22,0,Shadow Shaman,2019-04-10,,3,10,17,1.0,0,,0,232851,"[42, 73, 35, 14, 26]","[43, 105, 27, 99, 114]"
8015,3324,4633697655,131,1,2080,22,0,Dark Seer,2019-04-09,,5,4,9,1.0,0,,0,232851,"[14, 50, 38, 67, 1]","[114, 86, 22, 55, 100]"
8016,3325,4633501715,2,0,2047,5,0,Slardar,2019-04-09,,8,8,7,1.0,0,,0,232851,"[83, 86, 28, 31, 111]","[77, 81, 3, 5, 75]"
8017,3326,4632067130,3,0,3446,22,0,Dark Seer,2019-04-09,21.0,1,11,17,1.0,0,3.0,0,232851,"[14, 73, 64, 55, 35]","[29, 7, 12, 9, 51]"
8018,3327,4631770874,130,1,2582,22,0,Dark Seer,2019-04-09,,2,6,8,1.0,0,,0,232851,"[23, 114, 60, 84, 101]","[54, 13, 55, 71, 111]"
8019,3328,4630473216,131,1,2704,22,0,Rubick,2019-04-08,,4,7,17,,0,,0,232851,"[63, 31, 20, 106, 99]","[46, 29, 25, 86, 2]"
8020,3329,4629990982,130,1,4402,3,0,Dark Seer,2019-04-08,,9,9,36,,0,,0,232851,"[26, 104, 62, 37, 114]","[19, 15, 55, 5, 20]"
8021,3330,4628173312,132,1,2906,22,0,Dark Seer,2019-04-08,,7,10,12,1.0,1,,0,232851,"[40, 71, 26, 1, 21]","[94, 87, 74, 9, 55]"
8022,3331,4626075861,0,0,2820,22,0,Wraith King,2019-04-07,21.0,5,10,8,1.0,0,,0,232851,"[42, 1, 87, 86, 15]","[84, 94, 88, 120, 26]"
8023,3332,4621011080,2,0,3453,22,7,Wraith King,2019-04-06,21.0,7,5,17,1.0,1,1.0,0,232851,"[79, 35, 42, 41, 26]","[129, 8, 17, 5, 3]"
8024,3333,4615965841,2,0,2451,22,0,Clockwerk,2019-04-05,,4,9,14,1.0,0,,0,232851,"[106, 65, 51, 20, 74]","[11, 100, 101, 62, 8]"
8025,3334,4615243618,0,0,2507,22,0,Wraith King,2019-04-05,21.0,7,8,11,,0,,0,232851,"[42, 129, 86, 39, 48]","[6, 28, 47, 11, 68]"
8026,3335,4613879865,3,0,2842,22,0,Wraith King,2019-04-05,,9,7,21,,0,,0,232851,"[13, 31, 41, 42, 14]","[114, 26, 129, 12, 110]"
8027,3336,4611218450,1,0,1905,22,0,Nature's Prophet,2019-04-04,,2,6,4,1.0,0,,0,232851,"[4, 53, 26, 36, 82]","[14, 62, 1, 68, 94]"
8028,3337,4604970981,129,1,2094,22,7,Rubick,2019-04-02,,0,9,7,1.0,1,,0,232851,"[75, 55, 8, 36, 50]","[27, 86, 96, 26, 70]"
8029,3338,4604783598,130,1,2698,22,7,Shadow Shaman,2019-04-02,,5,11,18,,0,,0,232851,"[63, 81, 14, 6, 9]","[36, 87, 27, 71, 12]"
8030,3339,4600812733,0,0,2245,22,0,Phantom Assassin,2019-04-01,21.0,7,9,7,1.0,0,5.0,0,232851,"[44, 58, 13, 53, 35]","[6, 68, 67, 71, 10]"
8031,3340,4597439011,132,1,2377,4,0,Alchemist,2019-03-31,,8,5,12,1.0,0,,0,232851,"[1, 62, 121, 112, 45]","[97, 79, 108, 58, 73]"
8032,3341,4588874593,4,0,3076,22,0,Viper,2019-03-29,,9,15,15,,1,,0,232851,"[49, 31, 25, 14, 47]","[101, 44, 35, 42, 26]"
